vars,creation_time,label,trial_id,asset_key,type,class,object_type
{},2023-02-16 17:06:38,stimulus,116,consonance_main_experiment/participants/participant_6/node_41__trial_116__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:39,stimulus,117,consonance_main_experiment/participants/participant_2/node_24__trial_117__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:41,stimulus,118,consonance_main_experiment/participants/participant_3/node_52__trial_118__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:42,stimulus,119,consonance_main_experiment/participants/participant_6/node_37__trial_119__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:43,stimulus,120,headphone_test/nodes/node_2__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:45,stimulus,121,consonance_main_experiment/participants/participant_2/node_34__trial_121__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:46,stimulus,122,consonance_main_experiment/participants/participant_6/node_45__trial_122__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:49,stimulus,123,consonance_main_experiment/participants/participant_3/node_33__trial_123__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:49,stimulus,124,consonance_main_experiment/participants/participant_2/node_37__trial_124__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:50,stimulus,125,headphone_test/nodes/node_1__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:53,stimulus,126,consonance_main_experiment/participants/participant_3/node_54__trial_126__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:54,stimulus,127,consonance_main_experiment/participants/participant_2/node_38__trial_127__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:55,stimulus,128,consonance_main_experiment/participants/participant_6/node_9__trial_128__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:58,stimulus,129,consonance_main_experiment/participants/participant_3/node_35__trial_129__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:59,stimulus,130,consonance_main_experiment/participants/participant_2/node_39__trial_130__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:59,stimulus,131,consonance_main_experiment/participants/participant_6/node_46__trial_131__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:03,stimulus,132,consonance_main_experiment/participants/participant_3/node_37__trial_132__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:03,stimulus,133,consonance_main_experiment/participants/participant_7/node_23__trial_133__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:04,stimulus,134,consonance_main_experiment/participants/participant_6/node_52__trial_134__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:04,stimulus,135,consonance_main_experiment/participants/participant_2/node_7__trial_29__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:08,stimulus,136,consonance_main_experiment/participants/participant_3/node_19__trial_136__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:09,stimulus,137,consonance_main_experiment/participants/participant_7/node_16__trial_137__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:07:09,stimulus,138,consonance_main_experiment/participants/participant_2/node_37__trial_124__stimulus,AssetTrial,AssetTrial,AssetTrial
