type,pitch_interval,pleasantness,pleasantness_se
Carillon,1.7,-0.7770794582614775,0.08520377237063582
Carillon,1.71,-0.7744150085960761,0.08481774180356434
Carillon,1.72,-0.771722907039418,0.08442410226887691
Carillon,1.73,-0.7689691589775113,0.08402680744398776
Carillon,1.74,-0.7661197697963641,0.08363293374997775
Carillon,1.75,-0.7631407448819841,0.08324649917481072
Carillon,1.76,-0.7599980896203796,0.08287001653023711
Carillon,1.77,-0.7566578093975586,0.08250092063570524
Carillon,1.78,-0.7530859095995288,0.08213858369563429
Carillon,1.79,-0.7492483956122983,0.08178244339474787
Carillon,1.8,-0.7451112728218755,0.0814322110345681
Carillon,1.81,-0.7406405466142677,0.08109180303940976
Carillon,1.82,-0.7358055430343118,0.08076064885486393
Carillon,1.83,-0.7308563488074818,0.08044126421040339
Carillon,1.84,-0.7259588886808599,0.08013788670662149
Carillon,1.85,-0.7211040571293489,0.07985507778173871
Carillon,1.86,-0.7162827486278512,0.07959534655872261
Carillon,1.87,-0.7114858576512701,0.07936293605360983
Carillon,1.8800000000000001,-0.7067042786745078,0.07915991731710313
Carillon,1.8900000000000001,-0.7019289061724674,0.07898786019604052
Carillon,1.9000000000000001,-0.6971506346200514,0.07885276146600557
Carillon,1.9100000000000001,-0.6923603584921626,0.07875579239975114
Carillon,1.92,-0.6875489722637038,0.07869665167602846
Carillon,1.93,-0.6827073704095775,0.07867396638706922
Carillon,1.94,-0.6778264474046868,0.0786864304107624
Carillon,1.95,-0.672897097723934,0.07873048684656708
Carillon,1.96,-0.6679102158422219,0.07880259925151391
Carillon,1.97,-0.6628566962344535,0.0788986450200297
Carillon,1.98,-0.6577274333755313,0.07901524256568067
Carillon,1.99,-0.6525133217403581,0.07914656412986633
Carillon,2,-0.6472052558038368,0.07928471268345084
Carillon,2.0100000000000002,-0.6417941300408696,0.07941887372032902
Carillon,2.02,-0.6362708389263599,0.07954189580378036
Carillon,2.0300000000000002,-0.6306262769352098,0.07964908697051765
Carillon,2.04,-0.6248513385423227,0.07973866733381296
Carillon,2.05,-0.6189369182226008,0.07980464701976445
Carillon,2.06,-0.6128739104509467,0.07984243837635421
Carillon,2.07,-0.6066532097022638,0.07984750328061165
Carillon,2.08,-0.6002657104514542,0.07981682025585234
Carillon,2.09,-0.5937027049901696,0.0797489878479036
Carillon,2.1,-0.5870006466826175,0.07964372071529846
Carillon,2.11,-0.5801873447518564,0.0795021541515444
Carillon,2.12,-0.5732619999230061,0.07933138954436664
