interval,timbre_type,model,value
0.77,Carillon,roughness,0.5457865100909228
0.77,Carillon,harmonicity,0.9371138723610227
0.77,Harmonic,roughness,0.4673335933221167
0.77,Harmonic,harmonicity,1.0447933674234218
0.78,Carillon,roughness,0.5486007635208947
0.78,Carillon,harmonicity,0.9345145969548883
0.78,Harmonic,roughness,0.4658986949495025
0.78,Harmonic,harmonicity,1.0443971765007025
0.79,Carillon,roughness,0.5512858425731455
0.79,Carillon,harmonicity,0.9293129586161283
0.79,Harmonic,roughness,0.46436164294883503
0.79,Harmonic,harmonicity,1.0440639213972107
0.8,Carillon,roughness,0.5538434000453802
0.8,Carillon,harmonicity,0.9254323540413203
0.8,Harmonic,roughness,0.4627276651944123
0.8,Harmonic,harmonicity,1.0438241520065175
0.81,Carillon,roughness,0.5562751479083399
0.81,Carillon,harmonicity,0.9216056390510873
0.81,Harmonic,roughness,0.4610018602835124
0.81,Harmonic,harmonicity,1.04370906858842
0.8200000000000001,Carillon,roughness,0.5585828517529271
0.8200000000000001,Carillon,harmonicity,0.9178614403517804
0.8200000000000001,Harmonic,roughness,0.459189197170112
0.8200000000000001,Harmonic,harmonicity,1.0437499478397725
0.8300000000000001,Carillon,roughness,0.5607683255096615
0.8300000000000001,Carillon,harmonicity,0.9142266367233132
0.8300000000000001,Harmonic,roughness,0.45729451503998525
0.8300000000000001,Harmonic,harmonicity,1.0441478012936571
0.84,Carillon,roughness,0.5628334264288861
0.84,Carillon,harmonicity,0.9107262052984719
0.84,Harmonic,roughness,0.4553225234020409
0.84,Harmonic,harmonicity,1.0444214735925585
0.85,Carillon,roughness,0.564780050310723
0.85,Carillon,harmonicity,0.9073831118466984
0.85,Harmonic,roughness,0.4532778023724859
0.85,Harmonic,harmonicity,1.0451095775315575
0.86,Carillon,roughness,0.5666101269741811
0.86,Carillon,harmonicity,0.9057729644674031
0.86,Harmonic,roughness,0.4511648031299464
0.86,Harmonic,harmonicity,1.0460672823909047
0.87,Carillon,roughness,0.5683256159552543
0.87,Carillon,harmonicity,0.9012503302133134
0.87,Harmonic,roughness,0.448987848521191
0.87,Harmonic,harmonicity,1.0469025351533428
0.88,Carillon,roughness,0.5699285024243124
0.88,Carillon,harmonicity,0.8984959871451457
0.88,Harmonic,roughness,0.4467511337985132
0.88,Harmonic,harmonicity,1.0488772333256364
0.89,Carillon,roughness,0.5714207933134602
0.89,Carillon,harmonicity,0.8959696439097827
0.89,Harmonic,roughness,0.4444587274710947
0.89,Harmonic,harmonicity,1.0507624507017044
0.9,Carillon,roughness,0.5728045136449545
0.9,Carillon,harmonicity,0.8936835893473523
0.9,Harmonic,roughness,0.4421145722539792
0.9,Harmonic,harmonicity,1.052981986382861
0.91,Carillon,roughness,0.5740817030521354
0.91,Carillon,harmonicity,0.8916479936285318
0.91,Harmonic,roughness,0.43972248609942394
0.91,Harmonic,harmonicity,1.0544208228873946
0.92,Carillon,roughness,0.5752544124847198
0.92,Carillon,harmonicity,0.8898709545091545
0.92,Harmonic,roughness,0.4372861632964706
0.92,Harmonic,harmonicity,1.058433630285512
0.93,Carillon,roughness,0.5763247010906203
0.93,Carillon,harmonicity,0.8883585617381498
0.93,Harmonic,roughness,0.4348091756256776
0.93,Harmonic,harmonicity,1.0616551885643835
0.9400000000000001,Carillon,roughness,0.5772946332668298
0.9400000000000001,Carillon,harmonicity,0.888337610171801
0.9400000000000001,Harmonic,roughness,0.4322949735569032
0.9400000000000001,Harmonic,harmonicity,1.0651892251885269
0.9500000000000001,Carillon,roughness,0.5781662758722406
0.9500000000000001,Carillon,harmonicity,0.8872767100681473
0.9500000000000001,Harmonic,roughness,0.42974688747892476
0.9500000000000001,Harmonic,harmonicity,1.0678056493766739
0.96,Carillon,roughness,0.5789416955955276
0.96,Carillon,harmonicity,0.8854418662697096
0.96,Harmonic,roughness,0.427168128950659
0.96,Harmonic,harmonicity,1.0730992032922881
0.97,Carillon,roughness,0.5796229564716464
0.97,Carillon,harmonicity,0.8850119612970713
0.97,Harmonic,roughness,0.4245617919644544
0.97,Harmonic,harmonicity,1.077409841568636
0.98,Carillon,roughness,0.5802121175406555
0.98,Carillon,harmonicity,0.8848503417203493
0.98,Harmonic,roughness,0.4219308542128337
0.98,Harmonic,harmonicity,1.0819025918597658
0.99,Carillon,roughness,0.5807112306429797
0.99,Carillon,harmonicity,0.8849531271499369
0.99,Harmonic,roughness,0.4192781783507632
0.99,Harmonic,harmonicity,1.084229596950042
1,Carillon,roughness,0.5811570486818225
1,Carillon,harmonicity,0.8853151236504586
1,Harmonic,roughness,0.41660651324623577
1,Harmonic,harmonicity,1.09050788973621
1.01,Carillon,roughness,0.5814830979345079
1.01,Carillon,harmonicity,0.8859298800610975
1.01,Harmonic,roughness,0.4139184952127146
1.01,Harmonic,harmonicity,1.0943105910934467
1.02,Carillon,roughness,0.5817252149292778
1.02,Carillon,harmonicity,0.886789715252939
1.02,Harmonic,roughness,0.4112166492175924
