experiment,interval,value,measure,measure_group,colour,timbre,ymin,ymax
Experiment,1.7417417417417418,-0.054358079281660573,Participants,,black,Harmonic,-0.18428771781335485,0.07557155925003368
Experiment,1.7567567567567568,-0.045431364633217876,Participants,,black,Harmonic,-0.17475717430959803,0.08389444504316229
Experiment,1.7717717717717718,-0.03669342525551741,Participants,,black,Harmonic,-0.16541429172581437,0.09202744121477954
Experiment,1.7867867867867868,-0.028190330170553567,Participants,,black,Harmonic,-0.15631897816181634,0.09993831782070921
Experiment,1.8018018018018018,-0.01997003201210462,Participants,,black,Harmonic,-0.14753546751013574,0.1075954034859265
Experiment,1.8168168168168168,-0.012081801482955224,Participants,,black,Harmonic,-0.13913114250385308,0.11496753953794263
Experiment,1.8318318318318318,-0.004575603863283205,Participants,,black,Harmonic,-0.13117503186489118,0.12202382413832477
Experiment,1.8468468468468469,0.002498574339578023,Participants,,black,Harmonic,-0.12373604351548177,0.12873319219463783
Experiment,1.8618618618618619,0.009091440680169717,Participants,,black,Harmonic,-0.11688102449066685,0.13506390585100628
Experiment,1.8768768768768769,0.015155145810962216,Participants,,black,Harmonic,-0.11067276148595068,0.14098305310787512
Experiment,1.8918918918918919,0.02064405724036575,Participants,,black,Harmonic,-0.10516804938991603,0.14645616387064753
Experiment,1.906906906906907,0.02551554737969809,Participants,,black,Harmonic,-0.10041595479604491,0.15144704955544108
Experiment,1.921921921921922,0.02973078356835169,Participants,,black,Harmonic,-0.09645638543169299,0.15591795256839636
Experiment,1.936936936936937,0.03325550563670438,Participants,,black,Harmonic,-0.09331904583002751,0.15983005710343626
Experiment,1.951951951951952,0.03606077449236934,Participants,,black,Harmonic,-0.0910228189108139,0.16314436789555256
Experiment,1.966966966966967,0.03812367355455317,Participants,,black,Harmonic,-0.08957556943471695,0.1658229165438233
Experiment,1.981981981981982,0.039427943968304,Participants,,black,Harmonic,-0.088974326227871,0.16783021416447902
Experiment,1.996996996996997,0.03996453470025712,Participants,,black,Harmonic,-0.08920577186673309,0.16913484126724734
Experiment,2.012012012012012,0.039732050032456785,Participants,,black,Harmonic,-0.09024695438997635,0.1697110544548899
Experiment,2.027027027027027,0.03873707966130947,Participants,,black,Harmonic,-0.09206613533371076,0.1695402946563297
Experiment,2.042042042042042,0.0369944004352824,Participants,,black,Harmonic,-0.09462369896484538,0.16861249983541018
Experiment,2.057057057057057,0.034527043426286534,Participants,,black,Harmonic,-0.09787306459312378,0.16692715144569686
Experiment,2.0720720720720722,0.03136622509674007,Participants,,black,Harmonic,-0.10176156285076605,0.1644940130442462
Experiment,2.0870870870870872,0.02755114629550191,Participants,,black,Harmonic,-0.10623125441855814,0.16133354700956196
Experiment,2.1021021021021022,0.023128667185275228,Participants,,black,Harmonic,-0.11121968384987113,0.1574770182204216
Experiment,2.1171171171171173,0.018152869531231575,Participants,,black,Harmonic,-0.1166605712364008,0.15296631029886396
Experiment,2.1321321321321323,0.012684519751494318,Participants,,black,Harmonic,-0.12248445076164322,0.14785349026463185
Experiment,2.1471471471471473,0.006790446600297982,Participants,,black,Harmonic,-0.1286192684817247,0.14220016168232066
Experiment,2.1621621621621623,5.428463694596631e-4,Participants,,black,Harmonic,-0.13499095283903476,0.1360766455779541
Experiment,2.1771771771771773,-0.005981473715210024,Participants,,black,Harmonic,-0.14152397118001764,0.1295610237495976
Experiment,2.1921921921921923,-0.012701906266163993,Participants,,black,Harmonic,-0.14814188438340778,0.1227380718510798
Experiment,2.2072072072072073,-0.019534904397675846,Participants,,black,Harmonic,-0.1547679098300439,0.1156981010346922
Experiment,2.2222222222222223,-0.02639489110103773,Participants,,black,Harmonic,-0.1613255004186911,0.10853571821661562
Experiment,2.2372372372372373,-0.0331952183979762,Participants,,black,Harmonic,-0.1677389441686661,0.1013485073727137
Experiment,2.2522522522522523,-0.039849178193252094,Participants,,black,Harmonic,-0.1739339852359104,0.0942356288494062
Experiment,2.2672672672672673,-0.04627106577896346,Participants,,black,Harmonic,-0.17983846314649327,0.08729633158856633
Experiment,2.2822822822822824,-0.05237729388817528,Participants,,black,Harmonic,-0.18538296314701055,0.08062837537066
Experiment,2.2972972972972974,-0.05808755001176318,Participants,,black,Harmonic,-0.19050146735453546,0.07432636733100909
Experiment,2.3123123123123124,-0.06332598260387931,Participants,,black,Harmonic,-0.19513199445530907,0.06848002924755045
Experiment,2.3273273273273274,-0.06802239332781282,Participants,,black,Harmonic,-0.19921721549542784,0.0631724288398022
Experiment,2.3423423423423424,-0.07211340345219397,Participants,,black,Harmonic,-0.20270503492378417,0.05847822801939623
Experiment,2.3573573573573574,-0.07554355397490196,Participants,,black,Harmonic,-0.20554912908454243,0.054462021134738484
Experiment,2.3723723723723724,-0.07826629228040136,Participants,,black,Harmonic,-0.20770943789033805,0.05117685332953534
Experiment,2.3873873873873874,-0.08024479441302189,Participants,,black,Harmonic,-0.20915260816309295,0.04866301933704918
Experiment,2.4024024024024024,-0.08145257251353186,Participants,,black,Harmonic,-0.20985238784002436,0.04694724281296064
Experiment,2.4174174174174174,-0.08187382240464589,Participants,,black,Harmonic,-0.2097899681153983,0.046042323306106525
Experiment,2.4324324324324325,-0.08150347696000686,Participants,,black,Harmonic,-0.2089542657073727,0.04594731178735899
Experiment,2.4474474474474475,-0.08034694630272003,Participants,,black,Harmonic,-0.20734213091192555,0.0466482383064855
Experiment,2.4624624624624625,-0.07841954488261282,Participants,,black,Harmonic,-0.20495846084098757,0.04811937107576192
Experiment,2.4774774774774775,-0.07574562627158964,Participants,,black,Harmonic,-0.201816193387365,0.05032494084418575
Experiment,2.4924924924924925,-0.07235746687507377,Participants,,black,Harmonic,-0.1979361576992103,0.05322122394906276
Experiment,2.5075075075075075,-0.06829395737095888,Participants,,black,Harmonic,-0.1933467619354955,0.056758847193577724
Experiment,2.5225225225225225,-0.0635991735083708,Participants,,black,Harmonic,-0.1880835082293998,0.060885161212658204
