vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2023-02-16 17:38:05,False,,,87,consonance_main_experiment,25,2023-02-16 17:38:05,2023-02-16 17:41:49,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.7745966692414834, 'passed': True}","[790, 812, 747, 778]",4.0,54,['default'],0,default,"[35, 39, 32, 9, 54, 56, 17, 29, 19, 22, 33, 31, 13, 20, 34, 53, 50, 27, 26, 14, 51, 41, 44, 8, 23, 37, 52, 40, 47, 21, 16, 49, 55, 45, 46, 48, 38, 36, 28, 7, 42, 18, 10, 43, 11, 25, 12, 24, 30, 15, 8, 46, 39, 27]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:45:42,False,,,97,headphone_test,29,2023-02-16 17:45:42,2023-02-16 17:46:30,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[3, 4, 5, 1, 2, 6]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:46:25,False,,,99,headphone_test,27,2023-02-16 17:46:25,2023-02-16 17:47:19,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 4, 1, 2, 5, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:46:47,False,,,101,consonance_main_experiment,29,2023-02-16 17:46:47,2023-02-16 17:52:29,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.5, 'passed': True}","[955, 853, 911, 861]",4.0,54,['default'],0,default,"[35, 22, 17, 20, 15, 29, 28, 54, 11, 47, 34, 37, 12, 43, 40, 41, 42, 33, 36, 9, 52, 25, 53, 13, 10, 27, 19, 49, 51, 31, 23, 38, 8, 18, 32, 44, 26, 45, 56, 24, 7, 21, 16, 46, 14, 39, 48, 55, 50, 30, 50, 17, 51, 54]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:47:29,False,,,103,consonance_main_experiment,27,2023-02-16 17:47:29,2023-02-16 17:51:39,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.6324555320336759, 'passed': True}","[892, 872, 914, 905]",4.0,54,['default'],0,default,"[38, 53, 22, 47, 46, 44, 36, 33, 52, 37, 8, 34, 19, 7, 24, 29, 32, 54, 28, 45, 10, 9, 55, 12, 16, 30, 42, 21, 48, 23, 49, 11, 31, 26, 41, 25, 13, 18, 43, 17, 14, 39, 56, 20, 35, 15, 50, 51, 40, 27, 28, 36, 11, 42]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:55:41,False,,,112,headphone_test,33,2023-02-16 17:55:41,2023-02-16 17:56:28,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[5, 4, 2, 1, 6, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:56:56,False,,,113,consonance_main_experiment,33,2023-02-16 17:56:56,2023-02-16 18:01:01,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.31622776601683794, 'passed': True}","[1027, 981, 1011, 989]",4.0,54,['default'],0,default,"[32, 19, 9, 36, 37, 42, 28, 13, 47, 27, 51, 44, 26, 25, 12, 53, 39, 24, 7, 8, 20, 46, 56, 17, 23, 54, 16, 33, 18, 55, 48, 21, 22, 45, 29, 50, 38, 30, 41, 14, 15, 43, 35, 49, 10, 40, 34, 31, 52, 11, 30, 44, 55, 39]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:57:49,False,,,115,headphone_test,34,2023-02-16 17:57:49,2023-02-16 17:58:22,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[2, 3, 5, 1, 4, 6]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:58:44,False,,,116,consonance_main_experiment,34,2023-02-16 17:58:44,2023-02-16 18:02:27,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.816496580927726, 'passed': True}","[1040, 1000, 1036, 1020]",4.0,54,['default'],0,default,"[35, 15, 46, 52, 55, 7, 19, 44, 40, 53, 36, 32, 24, 18, 10, 38, 42, 20, 45, 26, 51, 37, 47, 54, 50, 17, 28, 49, 43, 48, 16, 25, 9, 31, 14, 22, 11, 34, 39, 41, 12, 56, 8, 23, 27, 30, 13, 21, 29, 33, 54, 52, 37, 18]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 18:05:40,False,,,136,headphone_test,42,2023-02-16 18:05:40,2023-02-16 18:06:21,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[2, 1, 4, 3, 5, 6]",6,6,ChainTrialMakerState,ModuleState
